id,firstname,surname,motivation,year,category
991,Emmanuelle,Charpentier,"""for the development of a method for genome editing""",2020,chemistry
992,Jennifer A.,Doudna,"""for the development of a method for genome editing""",2020,chemistry
995,Paul,Milgrom,"""for improvements to auction theory and inventions of new auction formats""",2020,economics
996,Robert,Wilson,"""for improvements to auction theory and inventions of new auction formats""",2020,economics
993,Louise,Glück,"""for her unmistakable poetic voice that with austere beauty makes individual existence universal""",2020,literature
994,World Food Programme,,"""for its efforts to combat hunger, for its contribution to bettering conditions for peace in conflict-affected areas and for acting as a driving force in efforts to prevent the use of hunger as a weapon of war and conflict""",2020,peace
988,Roger,Penrose,"""for the discovery that black hole formation is a robust prediction of the general theory of relativity""",2020,physics
989,Reinhard,Genzel,"""for the discovery of a supermassive compact object at the centre of our galaxy""",2020,physics
990,Andrea,Ghez,"""for the discovery of a supermassive compact object at the centre of our galaxy""",2020,physics
985,Harvey,Alter,"""for the discovery of Hepatitis C virus""",2020,medicine
986,Michael,Houghton,"""for the discovery of Hepatitis C virus""",2020,medicine
987,Charles,Rice,"""for the discovery of Hepatitis C virus""",2020,medicine
976,John,Goodenough,"""for the development of lithium-ion batteries""",2019,chemistry
977,M. Stanley,Whittingham,"""for the development of lithium-ion batteries""",2019,chemistry
978,Akira,Yoshino,"""for the development of lithium-ion batteries""",2019,chemistry
982,Abhijit,Banerjee,"""for their experimental approach to alleviating global poverty""",2019,economics
983,Esther,Duflo,"""for their experimental approach to alleviating global poverty""",2019,economics
984,Michael,Kremer,"""for their experimental approach to alleviating global poverty""",2019,economics
980,Peter,Handke,"""for an influential work that with linguistic ingenuity has explored the periphery and the specificity of human experience""",2019,literature
981,Abiy,Ahmed Ali,"""for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea""",2019,peace
973,James,Peebles,"""for theoretical discoveries in physical cosmology""",2019,physics
974,Michel,Mayor,"""for the discovery of an exoplanet orbiting a solar-type star""",2019,physics
975,Didier,Queloz,"""for the discovery of an exoplanet orbiting a solar-type star""",2019,physics
970,William,Kaelin,"""for their discoveries of how cells sense and adapt to oxygen availability""",2019,medicine
971,Peter,Ratcliffe,"""for their discoveries of how cells sense and adapt to oxygen availability""",2019,medicine
972,Gregg,Semenza,"""for their discoveries of how cells sense and adapt to oxygen availability""",2019,medicine
963,Frances H.,Arnold,"""for the directed evolution of enzymes""",2018,chemistry
964,George P.,Smith,"""for the phage display of peptides and antibodies""",2018,chemistry
965,Sir Gregory P.,Winter,"""for the phage display of peptides and antibodies""",2018,chemistry
968,William D.,Nordhaus,"""for integrating climate change into long-run macroeconomic analysis""",2018,economics
969,Paul M.,Romer,"""for integrating technological innovations into long-run macroeconomic analysis""",2018,economics
979,Olga,Tokarczuk,"""for a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life""",2018,literature
966,Denis,Mukwege,"""for their efforts to end the use of sexual violence as a weapon of war and armed conflict""",2018,peace
967,Nadia,Murad,"""for their efforts to end the use of sexual violence as a weapon of war and armed conflict""",2018,peace
960,Arthur,Ashkin,"""for the optical tweezers and their application to biological systems""",2018,physics
961,Gérard,Mourou,"""for their method of generating high-intensity, ultra-short optical pulses""",2018,physics
962,Donna,Strickland,"""for their method of generating high-intensity, ultra-short optical pulses""",2018,physics
958,James P.,Allison,"""for their discovery of cancer therapy by inhibition of negative immune regulation""",2018,medicine
959,Tasuku,Honjo,"""for their discovery of cancer therapy by inhibition of negative immune regulation""",2018,medicine
944,Jacques,Dubochet,"""for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution""",2017,chemistry
945,Joachim,Frank,"""for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution""",2017,chemistry
946,Richard,Henderson,"""for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution""",2017,chemistry
949,Richard H.,Thaler,"""for his contributions to behavioural economics""",2017,economics
947,Kazuo,Ishiguro,"""who, in novels of great emotional force, has uncovered the abyss beneath our illusory sense of connection with the world""",2017,literature
948,International Campaign to Abolish Nuclear Weapons (ICAN),,"""for its work to draw attention to the catastrophic humanitarian consequences of any use of nuclear weapons and for its ground-breaking efforts to achieve a treaty-based prohibition of such weapons""",2017,peace
941,Rainer,Weiss,"""for decisive contributions to the LIGO detector and the observation of gravitational waves""",2017,physics
942,Barry C.,Barish,"""for decisive contributions to the LIGO detector and the observation of gravitational waves""",2017,physics
943,Kip S.,Thorne,"""for decisive contributions to the LIGO detector and the observation of gravitational waves""",2017,physics
938,Jeffrey C.,Hall,"""for their discoveries of molecular mechanisms controlling the circadian rhythm""",2017,medicine
939,Michael,Rosbash,"""for their discoveries of molecular mechanisms controlling the circadian rhythm""",2017,medicine
940,Michael W.,Young,"""for their discoveries of molecular mechanisms controlling the circadian rhythm""",2017,medicine
931,Jean-Pierre,Sauvage,"""for the design and synthesis of molecular machines""",2016,chemistry
932,Sir J. Fraser,Stoddart,"""for the design and synthesis of molecular machines""",2016,chemistry
933,Bernard L.,Feringa,"""for the design and synthesis of molecular machines""",2016,chemistry
